fx,fy,fz,tx,ty,tz,ax,ay,az,gx,gy,gz,r11,r12,r13,r21,r22,r23,r31,r32,r33,fx_cal,fy_cal,fz_cal,tx_cal,ty_cal,tz_cal,ax_cal,ay_cal,az_cal
9.32155,-10.2251,9.98179,0.832826,-0.700524,-0.158358,-0.00700928,0.00710205,1.08161,-0.00167422,-9.82085,0.000118293,-1.0,0.000170476,5.51063e-06,5.51269e-06,1.20441e-05,1.0,0.000170476,1.0,-1.20451e-05,-8.860160888252151,-9.188660164756445,-0.24854051575931102,0.3998854842406876,-0.41003705300859605,-0.007091266475644703,-0.015401611992187498,-1.0001709109374999,1.0009339203125
8.87916,8.20258,9.87991,0.0309001,-0.683227,-0.156063,-0.00559082,0.0117578,-0.926416,-0.00120579,9.82085,-4.1191e-06,1.0,0.000122778,1.19832e-07,-1.19884e-07,4.1941e-07,1.0,0.000122778,-1.0,4.19424e-07,-9.302550888252151,9.239019835243553,-0.35042051575931055,-0.4020404157593124,-0.39274005300859605,-0.0047962664756447115,-0.013983151992187498,-0.9955151609374999,-1.0070920796875
8.98348,-0.934338,0.807169,0.430626,-0.686383,-0.158181,-1.00413,0.0276929,0.0719897,0.000820925,9.42063e-06,-9.82085,-1.0,-6.1838e-06,-8.359e-05,6.18388e-06,-1.0,-9.58731e-07,-8.359e-05,-9.59248e-07,1.0,-9.198230888252152,0.1021018352435531,-9.423161515759311,-0.002314515759312352,-0.395896053008596,-0.0069142664756446925,-1.0125223319921874,-0.9795800609374999,-0.008686379687499995
9.24297,-1.06118,19.0794,0.434973,-0.695032,-0.155577,0.994692,-0.00242432,0.0801172,-0.000387805,1.9774e-05,9.82085,-1.0,2.15706e-06,-3.9488e-05,2.15713e-06,1.0,-2.01339e-06,3.9488e-05,-2.01347e-06,-1.0,-8.938740888252152,-0.024740164756446914,8.849069484240689,0.0020324842406876376,-0.404545053008596,-0.004310266475644697,0.9862996680078125,-1.0096972809375,-0.0005588796874999996
8.9416,-10.1478,9.99636,0.835486,-0.696039,-0.162997,-0.0073584,0.00145996,1.08175,1.52999e-05,-9.82085,0.00120167,-7.212e-08,0.000122359,1.0,1.0,1.55791e-06,7.19294e-08,-1.5579e-06,1.0,-0.000122359,-9.240110888252152,-9.111360164756448,-0.23397051575931194,0.4025454842406876,-0.405552053008596,-0.011730266475644707,-0.0157507319921875,-1.0058130009375,1.0010739203125
8.92568,8.18676,9.95703,0.0306603,-0.684332,-0.155465,-0.00111084,0.0108594,-0.926648,-5.29645e-06,9.82085,0.00100276,-5.50662e-11,0.000102106,-1.0,1.0,5.39307e-07,1.66533e-16,5.39307e-07,-1.0,-0.000102106,-9.256030888252152,9.223199835243552,-0.2733005157593116,-0.4022802157593124,-0.39384505300859607,-0.004198266475644696,-0.009503171992187498,-0.9964135609375,-1.0073240796875
8.9728,-0.944301,0.817744,0.430332,-0.689774,-0.158202,-1.0047,0.021521,0.0728833,-4.11272e-11,0.000686751,-9.82085,5.98866e-08,-1.0,-6.99279e-05,1.0,5.98866e-08,0.0,4.18775e-12,-6.99279e-05,1.0,-9.208910888252152,0.09213883524355315,-9.412586515759312,-0.0026085157593123687,-0.399287053008596,-0.0069352664756447135,-1.0130923319921874,-0.9857519609375,-0.007792779687500001
9.00885,-1.08123,19.1006,0.433787,-0.694853,-0.158967,0.995547,-0.0105127,0.0805688,9.41538e-06,0.0002707,9.82085,5.99678e-08,1.0,-2.75638e-05,1.0,-5.99942e-08,-9.58712e-07,-9.58713e-07,-2.75638e-05,-1.0,-9.172860888252151,-0.044790164756446815,8.870269484240689,0.0008464842406876172,-0.40436605300859607,-0.0077002664756447015,0.9871546680078125,-1.0177856609375,-0.00010727968750000316
18.3135,-1.04967,10.0013,0.435689,-0.290596,-0.15537,0.00873047,1.00815,0.079375,9.82085,0.000523155,-5.82612e-05,5.32699e-05,-1.0,4.18216e-06,5.93218e-06,4.18247e-06,1.0,-1.0,-5.32698e-05,5.9324e-06,0.13178911174784957,-0.013230164756447005,-0.22903051575931066,0.002748484240687632,-0.00010905300859603839,-0.004103266475644712,0.00033813800781250236,0.0008770390625001401,-0.001301079687499998
-0.0630915,-0.993096,9.92934,0.428994,-1.09496,-0.156192,-0.0174194,-0.99051,0.0700244,-9.82085,0.000509031,-1.0593e-05,-5.18317e-05,-1.0,1.91756e-07,1.07861e-06,-1.91812e-07,-1.0,1.0,-5.18317e-05,1.07862e-06,-18.24480238825215,0.04334383524355312,-0.30099051575931135,-0.0039465157593123745,-0.804473053008596,-0.004925266475644702,-0.0258117319921875,-1.9977829609375,-0.010651679687499999
